,spp,lon,lat
411,s_convallariodora,-51.995278,-18.439444
412,s_convallariodora,-62,-16
413,s_convallariodora,-43.425,-4.815
414,s_convallariodora,-54.63556,-16.47083
415,s_convallariodora,-43.538889,-17.560833
416,s_convallariodora,-44.358611,-3.3925
417,s_convallariodora,-44.101667,-17.434444
418,s_convallariodora,-49.498481,-2.241489
419,v_cinnamomea,-48.283333,-22.8
420,v_cinnamomea,-54.364722,-20.594444
421,v_cinnamomea,-55.226111,-13.3
422,v_cinnamomea,-46.905194,-20.291889
423,v_cinnamomea,-57.483917,-15.970833
424,v_cinnamomea,-47.5022,-23.270419
425,v_cinnamomea,-55.833333,-15.383333
426,v_cinnamomea,-51.995278,-18.439444
427,v_cinnamomea,-47.61333,-16.76861
428,v_cinnamomea,-52.061667,-20.750556
429,v_cinnamomea,-56.366667,-12.616667
430,v_cinnamomea,-45.266667,-16.366667
431,v_cinnamomea,-48.1756,-21.7944
432,v_cinnamomea,-46.2547,-19.3451
433,v_cinnamomea,-49.9922,-22.5303
434,v_cinnamomea,-44.742222,-21.290278
435,v_cinnamomea,-48.64778,-16.23111
436,v_cinnamomea,-56.25,-14.5
437,v_cinnamomea,-45.882111,-20.426583
438,v_cinnamomea,-49.292222,-14.198333
439,v_cinnamomea,-50.274444,-13.463889
440,v_cinnamomea,-51.816667,-16.95
441,v_cinnamomea,-47.3344,-15.5372
442,v_cinnamomea,-47.470556,-13.685
443,v_cinnamomea,-52.8731,-10.8339
444,v_cinnamomea,-49.465,-18.96917
445,v_cinnamomea,-60.208889,-12.523889
446,v_cinnamomea,-48.505833,-15.460556
447,v_cinnamomea,-47.97,-10.75
448,v_cinnamomea,-47.88972,-22.01028
449,v_cinnamomea,-53,-19.083333
450,v_cinnamomea,-52.73,-20.48
451,v_cinnamomea,-50.983806,-11.573861
452,v_cinnamomea,-55.4,-17.766667
453,v_cinnamomea,-49.246389,-20.543611
454,v_cinnamomea,-56.133333,-17.9
455,v_cinnamomea,-58.216667,-13.016667
456,v_cinnamomea,-56,-23
457,v_cinnamomea,-52.484444,-14.887222
458,v_cinnamomea,-59.833333,-13.333333
459,v_cinnamomea,-58.033333,-14.333333
460,v_elliptica,-43.618611,-19.349444
461,v_elliptica,-51.111667,-19.305278
462,v_elliptica,-44.4525,-18.192222
463,v_elliptica,-52.8731,-10.8339
464,v_elliptica,-43.522444,-17.574806
465,v_elliptica,-47.5,-17
466,v_elliptica,-42.891992,-16.468808
467,v_elliptica,-42.5475,-14.687778
468,v_elliptica,-45.813056,-15.445
469,v_elliptica,-47.8215,-14.1685
470,v_elliptica,-48.56139,-18.1425
471,v_elliptica,-41.8,-13.58
472,v_elliptica,-45.7525,-18.636111
473,v_elliptica,-46.03,-14.87
474,v_elliptica,-48.303611,-18.990556
475,v_elliptica,-47.2647,-13.7764
476,v_elliptica,-53.675,-16.3302778
477,v_elliptica,-48.65,-17.766667
478,v_elliptica,-48.905833,-15.821111
479,v_elliptica,-42.51,-15.436944
480,v_elliptica,-54.95,-15.983333
481,v_elliptica,-42.594722,-19.221389
482,v_elliptica,-43.773611,-19.004444
483,v_elliptica,-43,-19
484,v_elliptica,-43.392542,-16.856944
485,v_elliptica,-45.921389,-13.719167
486,v_elliptica,-50.383333,-16.183333
487,v_elliptica,-51.756111,-16.708333
488,v_elliptica,-48.32,-10.206667
489,v_elliptica,-43.15,-12.866667
490,v_elliptica,-48.038333,-15.526667
491,v_elliptica,-47.88,-12.14
492,v_elliptica,-45.48467,-15.26416
493,v_elliptica,-46.362222,-11.821389
494,v_elliptica,-44.533333,-17.533333
495,v_elliptica,-48.4025,-12.791111
496,v_elliptica,-52.614167,-16.473333
497,v_elliptica,-46.1725,-17.74278
498,v_elliptica,-44.628889,-14.935833
499,v_elliptica,-42.753333,-13.086111
500,v_elliptica,-51.711944,-17.900278
501,v_elliptica,-42.680556,-12.0375
502,v_rufa,-49.292222,-14.198333
503,v_rufa,-46.783055,-14.5225
504,v_rufa,-48.749444,-16.248056
505,v_rufa,-48.62472,-17.74194
506,v_rufa,-46.3183,-13.3983
507,v_rufa,-51.867,-12.9
508,v_rufa,-52.8731,-10.8339
509,v_rufa,-45.883333,-16.116667
510,v_rufa,-62,-16.41666
511,v_rufa,-46.956389,-17.089167
512,v_rufa,-44.89889,-18.75833
513,v_rufa,-51.81,-13.983056
514,v_rufa,-58.666667,-14.916667
515,v_rufa,-44.36,-15.32
516,v_rufa,-55.834167,-15.408611
517,v_rufa,-47.840306,-20.197222
518,v_rufa,-60.188611,-13.689167
519,v_rufa,-50.116667,-15.9
520,v_rufa,-67.25,-13.08333
521,v_rufa,-54.3,-15.683333
522,v_rufa,-64.435,-16.7261
523,v_rufa,-48.743278,-22.813944
524,v_rufa,-47.42,-7.18
525,v_rufa,-53.566667,-13.2
526,v_rufa,-56.32722,-14.72056
527,v_rufa,-45.116667,-16.75
528,v_rufa,-58.43333,-16.35
529,v_rufa,-51.995278,-18.439444
530,v_rufa,-50.1,-8.05
531,v_rufa,-61.41666,-8.66666
532,v_rufa,-48.269722,-13.493611
533,v_rufa,-64.112221,-12.68583
534,v_rufa,-49.6,-9.8
535,v_rufa,-52.73,-20.48
536,v_rufa,-50.6692,-11.2222
537,v_rufa,-50.627222,-16.992056
538,v_rufa,-45.83306,-18.33833
539,v_rufa,-47.3861,-20.1225
540,v_rufa,-65.75,-11.08333
541,v_rufa,-52.611944,-18.010833
542,v_tucanorum,-43.683111,-20.093806
543,v_tucanorum,-51.566667,-22.016667
544,v_tucanorum,-41.471944,-12.4425
545,v_tucanorum,-51.75,-22.2666667
546,v_tucanorum,-56.417,-22.333
547,v_tucanorum,-41.833333,-13.283333
548,v_tucanorum,-46.416111,-20.267222
549,v_tucanorum,-55.741944,-10.995278
550,v_tucanorum,-46.1447,-22.7553
551,v_tucanorum,-48.35056,-23.423889
552,v_tucanorum,-57,-23
553,v_tucanorum,-52.754778,-23.913778
554,v_tucanorum,-59.88,-20.94
555,v_tucanorum,-42.64,-15.08
556,v_tucanorum,-49.70556,-24.25111
557,v_tucanorum,-48.0125,-16.7184
558,v_tucanorum,-52.8731,-10.8339
559,v_tucanorum,-47.4042,-20.0983
560,v_tucanorum,-43.883333,-21.7
561,v_tucanorum,-43.748611,-18.708333
562,v_tucanorum,-46.38333,-21.93333
563,v_tucanorum,-48.88167,-13.65361
564,v_tucanorum,-48.182889,-18.6508605
565,v_tucanorum,-59.5,-18.38
566,v_tucanorum,-64.435,-16.7261
567,v_tucanorum,-55.11666,-24.96666
568,v_tucanorum,-53.113222,-22.722917
569,v_tucanorum,-51.725556,-17.859167
570,v_tucanorum,-61.5,-17.5
571,v_tucanorum,-43.760309,-17.595233
572,v_tucanorum,-49.068333,-24.076111
573,v_tucanorum,-44.979722,-12.162222
574,v_tucanorum,-39.708333,-18.091111
575,v_tucanorum,-48.94,-15.718611
576,v_tucanorum,-51.883333,-17.833333
