"","spp","lat","lon","species_original"
"158","Tersina viridis",-13.27567,-41.5166,"Tersina viridis viridis (Illiger, 1811)"
"159","Tersina viridis",-13.27567,-41.5166,"Tersina viridis viridis (Illiger, 1811)"
"160","Tersina viridis",-22.926777,-43.234634,"Tersina viridis viridis (Illiger, 1811)"
"161","Tersina viridis",-14.078614,-51.683618,"Tersina viridis viridis (Illiger, 1811)"
"162","Tersina viridis",-26.991317,-55.819943,"Tersina viridis viridis (Illiger, 1811)"
"163","Tersina viridis",-26.937715,-54.434214,"Tersina viridis viridis (Illiger, 1811)"
"164","Elaenia cristata",-11.304857,-65.809721,"Elaenia cristata Pelzeln, 1868"
"165","Elaenia cristata",-11.252368,-65.791816,"Elaenia cristata Pelzeln, 1868"
"166","Elaenia cristata",-11.088676,-65.759753,"Elaenia cristata Pelzeln, 1868"
"167","Elaenia cristata",-12.446671,-41.437217,"Elaenia cristata Pelzeln, 1868"
"168","Elaenia cristata",-11.091677,-65.760457,"Elaenia cristata Pelzeln, 1868"
"169","Elaenia cristata",5.088127,-52.60114,"Elaenia cristata Pelzeln, 1868"
"170","Elaenia cristata",-20.032212,-44.015497,"Elaenia cristata Pelzeln, 1868"
"171","Elaenia cristata",1.293437,-61.141951,"Elaenia cristata Pelzeln, 1868"
"172","Elaenia cristata",5.449197,-55.170799,"Elaenia cristata Pelzeln, 1868"
"173","Elaenia cristata",5.396743,-55.166492,"Elaenia cristata Pelzeln, 1868"
"174","Elaenia cristata",5.396743,-55.166492,"Elaenia cristata Pelzeln, 1868"
"175","Elaenia cristata",5.448964,-55.175772,"Elaenia cristata Pelzeln, 1868"
"176","Elaenia cristata",5.448987,-55.175781,"Elaenia cristata Pelzeln, 1868"
"177","Elaenia cristata",5.448964,-55.175772,"Elaenia cristata Pelzeln, 1868"
"178","Elaenia cristata",-20.400573,-47.284977,"Elaenia cristata Pelzeln, 1868"
"179","Elaenia cristata",-14.816561,-45.974438,"Elaenia cristata Pelzeln, 1868"
"180","Elaenia cristata",-7.330852,-34.812685,"Elaenia cristata Pelzeln, 1868"
"181","Elaenia cristata",-7.010723,-35.116361,"Elaenia cristata Pelzeln, 1868"
"182","Elaenia cristata",-15.795263,-47.802235,"Elaenia cristata Pelzeln, 1868"
"183","Elaenia cristata",-15.725069,-48.893055,"Elaenia cristata Pelzeln, 1868"
"184","Elaenia cristata",-15.82568,-47.807175,"Elaenia cristata Pelzeln, 1868"
"185","Elaenia cristata",5.448704,-55.194604,"Elaenia cristata Pelzeln, 1868"
"186","Elaenia cristata",5.449318,-55.168552,"Elaenia cristata Pelzeln, 1868"
"187","Elaenia cristata",5.466819,-55.230039,"Elaenia cristata Pelzeln, 1868"
