species,lon,lat,n,
448,Miconia albicans,-59.78556,-13.66333,1
449,Miconia albicans,-58.3,-14.383333,1
450,Miconia albicans,-56.33,-13.46,1
451,Miconia albicans,-55.266944,-13.576111,1
452,Miconia albicans,-52.35,-14.366667,1
453,Miconia albicans,-48.383333,-13.95,1
454,Miconia albicans,-48.079889,-13.770306,1
455,Miconia albicans,-46.289667,-13.61225,1
456,Miconia albicans,-45.994444,-13.980833,1
457,Miconia albicans,-42.353889,-13.974722,1
458,Miconia albicans,-41.3,-13.583333,1
459,Miconia albicans,-40.43056,-13.44111,1
460,Miconia albicans,-39.315833,-13.39,1
461,Miconia albicans,-38.983333,-14.133333,1
462,Miconia albicans,-72.7487,-12.8522,1
463,Miconia albicans,-72.2135,-12.7185,1
464,Miconia albicans,-68.84277,-13.03416,1
465,Miconia albicans,-67.25,-13.08,1
466,Miconia albicans,-64.67083,-12.47666,1
467,Miconia albicans,-61.116667,-13.233333,1
468,Miconia albicans,-59.4330556,-12.3891666,1
469,Miconia albicans,-58.083333,-13.333333,1
470,Miconia albicans,-56.427778,-12.599167,1
471,Miconia albicans,-56,-13.2,1
472,Miconia albicans,-54.42255,-13.090389,1
473,Miconia albicans,-52.566667,-13.2,1
474,Miconia albicans,-51.767,-12.817,1
475,Miconia albicans,-48.707222,-12.791389,1
476,Miconia albicans,-47.686389,-13.240556,1
477,Miconia albicans,-47.225278,-12.814722,1
478,Miconia albicans,-45.75,-13,1
479,Miconia albicans,-44.007833,-12.703464,1
480,Miconia albicans,-42.284167,-13.200556,1
481,Miconia albicans,-41.86028,-13.08278,1
482,Miconia albicans,-41.166667,-12.683333,1
483,Miconia albicans,-39.831389,-12.887222,1
484,Miconia albicans,-38.32,-12.88,1
485,Miconia albicans,-38.083333,-12.6425,1
486,Miconia albicans,-74.870186,-11.555314,1
487,Miconia albicans,-70.25,-12,1
488,Miconia albicans,-61.22,-11.6,1
489,Miconia albicans,-56.05,-12.25,1
490,Miconia albicans,-49.673333,-11.540833,1
491,Miconia albicans,-49.07,-11.73,1
492,Miconia albicans,-47.7,-11.65,1
493,Miconia albicans,-46.665833,-11.689167,1
494,Miconia albicans,-45.45,-11.866667,1
495,Miconia albicans,-44.585833,-12.3,1
496,Miconia albicans,-44,-12.01,1
497,Miconia albicans,-42.709444,-11.416638,1
498,Miconia albicans,-41.99722,-12.18306,1
499,Miconia albicans,-40.536667,-11.393056,1
500,Miconia albicans,-39.466667,-12.35,1
501,Miconia albicans,-38.433333,-12.133333,1
502,Miconia albicans,-37.7052778,-12.0377777,1
503,Miconia albicans,-75.24972,-10.94972,1
504,Miconia albicans,-74.998222,-10.88306,1
505,Miconia albicans,-62.05,-11.233333,1
506,Miconia albicans,-56.25,-10.55,1
507,Miconia albicans,-55.785278,-10.895556,1
508,Miconia albicans,-52.8731,-10.8339,1
509,Miconia albicans,-50.5,-10.5,1
510,Miconia albicans,-48.310278,-10.415,1
511,Miconia albicans,-48.153056,-10.733333,1
512,Miconia albicans,-46.65,-10.583333,1
513,Miconia albicans,-45.972778,-10.716111,1
514,Miconia albicans,-41.383333,-11.183333,1
515,Miconia albicans,-40.49806,-11.17583,1
516,Miconia albicans,-40.214444,-10.395,1
517,Miconia albicans,-37.424278,-11.378056,1
518,Miconia albicans,-36.941514,-10.593489,1
519,Miconia albicans,-59.3,-10.316667,1
520,Miconia albicans,-59.12,-10.17,1
521,Miconia albicans,-56.816325,-10.351789,1
522,Miconia albicans,-48.35,-9.75,1
523,Miconia albicans,-48.19,-10.17,1
524,Miconia albicans,-46.470555,-10.333333,1
525,Miconia albicans,-40.265833,-10.242778,1
526,Miconia albicans,-40.217083,-10.359111,1
527,Miconia albicans,-36.313364,-9.984031,1
528,Miconia albicans,-35.676472,-9.594422,1
